Data,Tempo,Polveri Grosse,Polveri Fine
2021-05-07 21:26:44.065,0 days 21:26:44,0,0
2021-05-07 21:27:50.080,0 days 21:27:50,0,0
2021-05-07 21:28:57.007,0 days 21:28:57,0,0
2021-05-07 21:30:02.054,0 days 21:30:02,0,0
2021-05-07 21:31:08.039,0 days 21:31:08,0,0
2021-05-07 21:32:15.031,0 days 21:32:15,0,0
2021-05-07 21:33:20.061,0 days 21:33:20,0,0
2021-05-07 21:34:26.081,0 days 21:34:26,0,0
2021-05-07 21:35:32.043,0 days 21:35:32,0,0
2021-05-07 21:36:38.052,0 days 21:36:38,0,0
2021-05-07 21:37:44.007,0 days 21:37:44,0,0
2021-05-07 21:38:50.027,0 days 21:38:50,0,35
2021-05-07 21:39:56.054,0 days 21:39:56,0,0
2021-05-07 21:41:02.025,0 days 21:41:02,0,0
2021-05-07 21:42:08.050,0 days 21:42:08,0,0
2021-05-07 21:43:14.066,0 days 21:43:14,0,0
2021-05-07 21:44:20.013,0 days 21:44:20,0,0
2021-05-07 21:45:26.047,0 days 21:45:26,0,0
2021-05-07 21:46:32.001,0 days 21:46:32,0,0
2021-05-07 21:47:38.022,0 days 21:47:38,0,0
2021-05-07 21:48:44.021,0 days 21:48:44,0,0
2021-05-07 21:49:49.085,0 days 21:49:49,0,0
2021-05-07 21:50:55.055,0 days 21:50:55,0,0
2021-05-07 21:52:01.084,0 days 21:52:01,0,0
2021-05-07 21:53:07.073,0 days 21:53:07,0,0
2021-05-07 21:54:14.057,0 days 21:54:14,0,0
2021-05-07 21:55:19.048,0 days 21:55:19,0,0
2021-05-07 21:56:25.069,0 days 21:56:25,0,0
2021-05-07 21:57:31.086,0 days 21:57:31,0,0
2021-05-07 21:58:37.028,0 days 21:58:37,0,0
2021-05-07 21:59:43.054,0 days 21:59:43,0,0
2021-05-07 22:00:49.068,0 days 22:00:49,0,0
2021-05-07 22:01:55.026,0 days 22:01:55,35,35
2021-05-07 22:03:00.098,0 days 22:03:00,0,0
2021-05-07 22:04:07.038,0 days 22:04:07,0,0
2021-05-07 22:05:13.085,0 days 22:05:13,0,0
2021-05-07 22:06:19.016,0 days 22:06:19,0,0
2021-05-07 22:07:25.053,0 days 22:07:25,35,70
2021-05-07 22:08:31.014,0 days 22:08:31,35,105
2021-05-07 22:09:36.078,0 days 22:09:36,0,0
2021-05-07 22:10:42.096,0 days 22:10:42,0,0
2021-05-07 22:11:49.010,0 days 22:11:49,0,0
